Symbol,Name,Last Sale,Net Change,% Change,Market Cap
AAPL,Apple Inc. Common Stock,$145.40,-0.75,-0.513%,"2,520,849,236,000"
MSFT,Microsoft Corporation Common Stock,$281.40,2.08,0.745%,"2,119,385,078,651"
AMZN,"Amazon.com, Inc. Common Stock",$3585.20,12.01,0.336%,"1,808,101,458,307"
GOOG,Alphabet Inc. Class C Capital Stock,$2652.01,29.98,1.143%,"1,777,281,080,674"
GOOGL,Alphabet Inc. Class A Common Stock,$2550.98,26.79,1.061%,"1,709,574,432,667"
FB,"Facebook, Inc. Class A Common Stock",$346.23,4.57,1.338%,"981,722,989,476"
TSLA,"Tesla, Inc. Common Stock",$655.29,-5.21,-0.789%,"631,260,809,270"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$117.87,1.47,1.263%,"611,273,820,000"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$211.08,0.49,0.233%,"572,554,500,000"
V,Visa Inc.,$243.66,0.96,0.396%,"519,676,428,636"
NVDA,NVIDIA Corporation Common Stock,$194.10,7.98,4.288%,"483,697,200,000"
JPM,JP Morgan Chase & Co. Common Stock,$152.86,3.15,2.104%,"456,776,252,000"
JNJ,Johnson & Johnson Common Stock,$169.49,1.04,0.617%,"446,334,288,548"
WMT,Walmart Inc. Common Stock,$141.17,-0.70,-0.493%,"395,578,940,515"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$414.64,1.67,0.404%,"391,296,647,037"
MA,Mastercard Incorporated Common Stock,$380.06,5.67,1.514%,"376,657,507,529"
PYPL,"PayPal Holdings, Inc. Common Stock",$301.77,3.70,1.241%,"354,497,684,856"
HD,"Home Depot, Inc. (The) Common Stock",$326.36,1.01,0.31%,"347,005,022,520"
PG,Procter & Gamble Company (The) Common Stock,$139.20,-0.49,-0.351%,"340,794,003,811"
BAC,Bank of America Corporation Common Stock,$38.46,0.77,2.043%,"331,804,133,150"
DIS,Walt Disney Company (The) Common Stock,$176.89,0.14,0.079%,"321,397,111,740"
ASML,ASML Holding N.V. New York Registry Shares,$721.00,36.95,5.402%,"300,306,618,514"
ADBE,Adobe Inc. Common Stock,$612.26,3.54,0.582%,"291,680,664,000"
CMCSA,Comcast Corporation Class A Common Stock,$57.81,0.73,1.279%,"265,595,858,363"
NKE,"Nike, Inc. Common Stock",$161.08,1.34,0.839%,"254,501,096,280"
TM,Toyota Motor Corporation Common Stock,$179.68,1.56,0.876%,"250,990,399,020"
ORCL,Oracle Corporation Common Stock,$89.69,1.03,1.162%,"250,414,480,000"
XOM,Exxon Mobil Corporation Common Stock,$57.76,1.80,3.217%,"244,529,207,846"
KO,Coca-Cola Company (The) Common Stock,$56.55,0.72,1.29%,"243,794,340,652"
VZ,Verizon Communications Inc. Common Stock,$55.95,0.37,0.666%,"231,636,784,066"
PFE,"Pfizer, Inc. Common Stock",$41.02,-0.03,-0.073%,"229,617,402,424"
NFLX,"Netflix, Inc. Common Stock",$513.63,-17.42,-3.28%,"227,744,947,292"
LLY,Eli Lilly and Company Common Stock,$237.29,2.27,0.966%,"227,567,148,081"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$53.88,0.30,0.56%,"227,469,805,272"
INTC,Intel Corporation Common Stock,$56.23,0.99,1.792%,"227,056,740,000"
CRM,Salesforce.com Inc Common Stock,$242.11,2.00,0.833%,"224,193,860,000"
PEP,"PepsiCo, Inc. Common Stock",$155.24,-0.58,-0.372%,"214,559,525,769"
ABT,Abbott Laboratories Common Stock,$118.98,0.25,0.211%,"211,406,061,209"
ABBV,AbbVie Inc. Common Stock,$116.99,0.94,0.81%,"206,630,351,089"
NVO,Novo Nordisk A/S Common Stock,$88.81,1.30,1.486%,"203,748,395,428"
NVS,Novartis AG Common Stock,$90.48,0.24,0.266%,"203,135,635,438"
TMO,Thermo Fisher Scientific Inc Common Stock,$514.26,-8.32,-1.592%,"202,118,520,654"
DHR,Danaher Corporation Common Stock,$279.80,-3.80,-1.34%,"199,575,426,707"
T,AT&T Inc.,$27.90,-0.01,-0.036%,"199,206,000,000"
ACN,Accenture plc Class A Ordinary Shares (Ireland),$313.77,1.71,0.548%,"198,973,051,650"
AVGO,Broadcom Inc. Common Stock,$479.02,10.43,2.226%,"196,523,013,451"
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$1569.36,44.58,2.924%,"195,201,987,365"
MRK,"Merck & Company, Inc. Common Stock (new)",$76.39,0.22,0.289%,"193,423,938,426"
CVX,Chevron Corporation Common Stock,$99.82,3.29,3.408%,"192,458,867,248"
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$75.74,1.91,2.587%,"191,508,590,000"
WFC,Wells Fargo & Company Common Stock,$45.80,0.96,2.141%,"188,146,320,949"
UPS,"United Parcel Service, Inc. Common Stock",$212.45,-0.01,-0.005%,"184,944,652,570"
COST,Costco Wholesale Corporation Common Stock,$415.01,-1.23,-0.296%,"183,463,093,456"
TMUS,"T-Mobile US, Inc. Common Stock",$144.57,0.17,0.118%,"180,258,229,399"
TXN,Texas Instruments Incorporated Common Stock,$194.24,6.47,3.446%,"179,385,209,108"
MCD,McDonald's Corporation Common Stock,$235.93,1.66,0.709%,"176,044,898,824"
MS,Morgan Stanley Common Stock,$95.68,3.36,3.64%,"175,477,120,000"
MDT,Medtronic plc. Ordinary Shares,$127.05,1.54,1.227%,"170,743,026,069"
SAP,SAP  SE ADS,$138.86,-5.24,-3.636%,"163,796,387,152"
HON,Honeywell International Inc. Common Stock,$231.85,2.19,0.954%,"161,032,716,556"
QCOM,QUALCOMM Incorporated Common Stock,$142.17,2.62,1.877%,"160,367,760,000"
BBL,BHP Group PlcSponsored ADR,$62.32,1.86,3.076%,"157,576,120,000"
SE,"Sea Limited American Depositary Shares, each representing one Class A Ordinary Share",$293.92,14.28,5.107%,"154,141,494,908"
UL,Unilever PLC Common Stock,$58.71,-0.11,-0.187%,"153,166,076,547"
LIN,Linde plc Ordinary Share,$294.20,3.83,1.319%,"152,992,739,211"
AZN,AstraZeneca PLC American Depositary Shares,$57.77,0.23,0.40%,"151,679,510,500"
PM,Philip Morris International Inc Common Stock,$96.54,1.61,1.696%,"150,461,161,690"
BMY,Bristol-Myers Squibb Company Common Stock,$67.16,0.44,0.659%,"149,957,786,586"
NEE,"NextEra Energy, Inc. Common Stock",$75.88,-1.29,-1.672%,"148,834,451,153"
CHTR,"Charter Communications, Inc. Class A Common Stock New",$718.42,-0.34,-0.047%,"147,203,666,740"
UNP,Union Pacific Corporation Common Stock,$217.19,1.71,0.794%,"144,279,864,536"
RY,Royal Bank Of Canada Common Stock,$100.51,1.10,1.107%,"143,236,438,460"
AMGN,Amgen Inc. Common Stock,$244.85,-2.04,-0.826%,"140,679,543,472"
INTU,Intuit Inc. Common Stock,$514.45,5.89,1.158%,"140,578,229,394"
SBUX,Starbucks Corporation Common Stock,$119.27,1.85,1.576%,"140,535,841,000"
AXP,American Express Company Common Stock,$172.51,3.64,2.156%,"138,577,776,206"
LOW,"Lowe's Companies, Inc. Common Stock",$195.13,1.02,0.525%,"137,935,472,433"
C,"Citigroup, Inc. Common Stock",$67.89,1.60,2.414%,"137,599,452,000"
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$68.40,1.47,2.196%,"135,411,940,674"
BLK,"BlackRock, Inc. Common Stock",$882.68,3.84,0.437%,"134,431,090,661"
RIO,Rio Tinto Plc Common Stock,$82.94,1.49,1.829%,"134,279,160,318"
SCHW,Charles Schwab Corporation (The) Common Stock,$69.56,1.62,2.384%,"131,214,250,993"
RTX,Raytheon Technologies Corporation Common Stock,$86.58,1.78,2.099%,"131,176,480,945"
PDD,Pinduoduo Inc. American Depositary Shares,$104.52,2.27,2.22%,"130,993,745,481"
BA,Boeing Company (The) Common Stock,$222.54,5.39,2.482%,"130,143,632,533"
HDB,HDFC Bank Limited Common Stock,$70.27,0.93,1.341%,"129,454,183,649"
SNY,Sanofi ADR,$51.50,0.10,0.195%,"129,010,896,425"
MRNA,"Moderna, Inc. Common Stock",$321.11,13.78,4.484%,"128,934,588,326"
AMT,American Tower Corporation (REIT) Common Stock,$280.26,-2.74,-0.968%,"127,433,124,222"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$373.50,8.74,2.396%,"126,901,179,459"
TGT,Target Corporation Common Stock,$256.05,1.34,0.526%,"126,674,037,696"
IBM,International Business Machines Corporation Common Stock,$141.30,1.33,0.95%,"126,254,775,596"
AMAT,"Applied Materials, Inc. Common Stock",$138.00,6.03,4.569%,"126,129,344,328"
SONY,Sony Group Corporation American Depositary Shares ,$100.46,1.38,1.393%,"124,489,868,853"
TD,Toronto Dominion Bank (The) Common Stock,$65.92,0.99,1.525%,"119,888,704,000"
JD,"JD.com, Inc. American Depositary Shares",$75.30,1.43,1.936%,"117,391,590,003"
SQ,"Square, Inc. Class A Common Stock",$257.25,10.78,4.374%,"117,143,585,470"
EL,"Estee Lauder Companies, Inc. (The) Common Stock",$323.08,-0.37,-0.114%,"117,120,336,252"
MMM,3M Company Common Stock,$200.77,-0.05,-0.025%,"116,381,350,152"
CAT,"Caterpillar, Inc. Common Stock",$210.73,2.77,1.332%,"115,435,186,541"
GE,General Electric Company Common Stock,$13.08,0.38,2.992%,"114,824,624,280"
HSBC,"HSBC Holdings, plc. Common Stock",$27.66,0.62,2.293%,"112,997,285,716"
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,$22.05,0.42,1.942%,"112,895,034,408"
NOW,"ServiceNow, Inc. Common Stock",$567.13,1.88,0.333%,"111,978,676,867"
ISRG,"Intuitive Surgical, Inc. Common Stock",$944.94,-10.11,-1.059%,"111,893,074,387"
TTE,TotalEnergies SE,$42.35,1.09,2.642%,"111,814,795,184"
DEO,Diageo plc Common Stock,$189.84,1.50,0.796%,"110,895,559,769"
DE,Deere & Company Common Stock,$353.00,4.97,1.428%,"110,115,558,476"
CVS,CVS Health Corporation Common Stock,$83.06,1.26,1.54%,"109,354,127,365"
AMD,"Advanced Micro Devices, Inc. Common Stock",$89.41,2.30,2.64%,"108,635,025,464"
LMT,Lockheed Martin Corporation Common Stock,$380.89,0.91,0.239%,"105,862,275,547"
ZM,"Zoom Video Communications, Inc. Class A Common Stock",$352.97,-2.84,-0.798%,"105,122,278,638"
SPGI,S&P Global Inc. Common Stock,$417.06,0.68,0.163%,"100,469,754,000"
SNAP,Snap Inc. Class A Common Stock,$63.39,1.06,1.701%,"99,582,801,508"
GSK,GlaxoSmithKline PLC Common Stock,$39.32,0.23,0.588%,"98,922,735,100"
SYK,Stryker Corporation Common Stock,$258.68,3.50,1.372%,"97,457,137,977"
ZTS,Zoetis Inc. Class A Common Stock,$198.04,-2.07,-1.034%,"94,022,797,466"
ANTM,"Anthem, Inc. Common Stock",$383.59,-6.35,-1.628%,"93,918,426,468"
PLD,"Prologis, Inc. Common Stock",$126.90,-1.09,-0.852%,"93,877,193,700"
LRCX,Lam Research Corporation Common Stock,$637.25,30.16,4.968%,"90,884,178,239"
INFY,Infosys Limited American Depositary Shares,$21.31,0.37,1.767%,"90,761,117,610"
FIS,"Fidelity National Information Services, Inc. Common Stock",$145.47,0.64,0.442%,"90,209,664,922"
BKNG,Booking Holdings Inc. Common Stock,$2194.03,63.60,2.985%,"90,071,103,306"
MDLZ,"Mondelez International, Inc. Class A Common Stock",$64.02,-0.39,-0.605%,"89,929,612,560"
UBER,"Uber Technologies, Inc. Common Stock",$47.52,1.20,2.591%,"89,241,616,776"
MO,"Altria Group, Inc.",$47.33,0.12,0.254%,"87,590,695,309"
ADP,"Automatic Data Processing, Inc. Common Stock",$204.47,1.33,0.655%,"87,005,730,890"
BTI,"British American Tobacco  Industries, p.l.c. Common Stock ADR",$37.88,0.54,1.446%,"86,920,494,814"
CCI,Crown Castle International Corp. (REIT) Common Stock,$201.10,-2.18,-1.072%,"86,913,337,811"
MU,"Micron Technology, Inc. Common Stock",$77.19,1.80,2.388%,"86,896,917,296"
GILD,"Gilead Sciences, Inc. Common Stock",$68.41,-0.75,-1.084%,"85,798,328,336"
USB,U.S. Bancorp Common Stock,$57.20,1.11,1.979%,"84,827,600,000"
ABNB,"Airbnb, Inc. Class A Common Stock",$139.25,3.16,2.322%,"83,048,561,725"
GM,General Motors Company Common Stock,$57.05,0.90,1.603%,"82,760,773,134"
HCA,"HCA Healthcare, Inc. Common Stock",$249.25,0.35,0.141%,"82,415,883,375"
TJX,"TJX Companies, Inc. (The) Common Stock",$67.48,0.98,1.474%,"81,413,755,311"
BP,BP p.l.c. Common Stock,$23.91,0.80,3.462%,"80,673,599,268"
BAM,Brookfield Asset Management Inc. Common Stock,$50.97,1.79,3.64%,"80,410,438,468"
CI,Cigna Corporation Common Stock,$233.57,1.55,0.668%,"80,021,082,000"
FDX,FedEx Corporation Common Stock,$298.35,0.33,0.111%,"79,763,345,017"
DUK,Duke Energy Corporation (Holding Company) Common Stock,$103.16,-0.58,-0.559%,"79,352,627,501"
PNC,"PNC Financial Services Group, Inc. (The) Common Stock",$184.87,3.27,1.801%,"78,543,562,980"
PTR,PetroChina Company Limited Common Stock,$42.86,0.74,1.757%,"78,442,791,085"
ENB,Enbridge Inc Common Stock,$38.60,0.66,1.74%,"78,187,248,461"
MELI,"MercadoLibre, Inc. Common Stock",$1550.17,8.02,0.52%,"77,279,569,344"
COP,ConocoPhillips Common Stock,$57.02,2.55,4.681%,"76,943,840,247"
SNOW,Snowflake Inc. Class A Common Stock,$259.30,3.03,1.182%,"76,778,730,000"
NIO,"NIO Inc. American depositary shares, each  representing one Class A ordinary share",$46.77,2.60,5.886%,"76,633,491,958"
CB,Chubb Limited  Common Stock,$169.42,1.75,1.044%,"76,186,577,217"
CME,CME Group Inc. Class A Common Stock,$212.00,3.42,1.64%,"76,128,602,160"
NTES,"NetEase, Inc. American Depositary Shares",$113.04,-0.18,-0.159%,"75,847,655,841"
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,$62.11,0.86,1.404%,"75,392,596,160"
SHW,Sherwin-Williams Company (The) Common Stock,$281.83,0.59,0.21%,"74,952,576,050"
BX,The Blackstone Group Inc. Common Stock,$105.79,1.95,1.878%,"74,553,058,963"
TFC,Truist Financial Corporation Common Stock,$55.28,1.21,2.238%,"73,786,085,600"
